trip_id,vehicle_type,start_time,hub_id,hub_name,lat,lng,duration_min,distance_km,ride_rating
1,bike,2025-07-01 06:00:00,1,Temple Meads,51.45092797576725,-2.579605366063212,7,0.52,5
2,bike,2025-07-01 06:00:00,1,Temple Meads,51.44862407456177,-2.5813760219186555,14,0.96,3
3,e-bike,2025-07-01 06:00:00,1,Temple Meads,51.448232334448676,-2.5785352954169003,19,3.75,4
4,bike,2025-07-01 06:00:00,1,Temple Meads,51.450404460046975,-2.5791677096888157,18,1.89,5
5,scooter,2025-07-01 06:00:00,1,Temple Meads,51.44808233797718,-2.578120360591352,6,0.52,5
6,e-bike,2025-07-01 06:00:00,1,Temple Meads,51.451329770563206,-2.581150643557287,6,0.77,3
7,e-bike,2025-07-01 06:00:00,1,Temple Meads,51.44872729986883,-2.5812663819605866,12,0.68,5
8,e-bike,2025-07-01 06:00:00,1,Temple Meads,51.44921696897184,-2.579900974273471,25,2.86,4
9,bike,2025-07-01 06:00:00,1,Temple Meads,51.44972778007457,-2.580835083439208,13,1.17,3
10,scooter,2025-07-01 06:00:00,1,Temple Meads,51.45044741157889,-2.5814420245573917,23,4.09,5
11,bike,2025-07-01 06:00:00,1,Temple Meads,51.44916857859415,-2.5805345526268253,9,0.57,5
12,e-bike,2025-07-01 06:00:00,2,Clifton,51.46043017940761,-2.601317903505251,21,4.03,4
13,e-cargo,2025-07-01 06:00:00,2,Clifton,51.45826020637194,-2.598204457850987,16,2.92,5
14,e-cargo,2025-07-01 06:00:00,2,Clifton,51.4618625281323,-2.598766410607534,5,0.88,5
15,e-cargo,2025-07-01 06:00:00,2,Clifton,51.459218455076694,-2.6016093115439745,6,1.1,5
16,scooter,2025-07-01 06:00:00,2,Clifton,51.46073693210605,-2.600239390025042,15,2.81,4
17,e-bike,2025-07-01 06:00:00,3,Bath City Centre,51.479246844304356,-2.3599197279152886,25,2.16,4
18,e-bike,2025-07-01 06:00:00,3,Bath City Centre,51.48018684111737,-2.3612605821778976,14,1.55,3
19,e-bike,2025-07-01 06:00:00,3,Bath City Centre,51.48187833851105,-2.3588994687065554,10,0.79,4
20,e-bike,2025-07-01 06:00:00,3,Bath City Centre,51.48175799576625,-2.3584206905982894,17,3.14,4
21,e-cargo,2025-07-01 06:00:00,3,Bath City Centre,51.480391599915244,-2.3583125030599073,8,0.64,5
22,scooter,2025-07-01 06:00:00,4,UWE Campus,51.49955470915876,-2.5509146038729043,8,0.68,3
23,bike,2025-07-01 06:00:00,4,UWE Campus,51.50131495003661,-2.5505729866932256,24,3.19,4
24,scooter,2025-07-01 06:00:00,4,UWE Campus,51.49912373803875,-2.549829215667367,12,1.98,3
25,bike,2025-07-01 06:00:00,5,Southmead,51.52126184571382,-2.5891725706246094,8,0.51,3
26,bike,2025-07-01 06:00:00,5,Southmead,51.52091602867217,-2.588914918613256,18,3.57,3
27,bike,2025-07-01 06:00:00,5,Southmead,51.51829617860694,-2.5905661370858226,20,2.62,5
28,scooter,2025-07-01 06:00:00,5,Southmead,51.518463476238104,-2.5885475862964973,16,3.02,5
29,scooter,2025-07-01 06:00:00,5,Southmead,51.52049319250732,-2.590676407900589,22,3.11,5
30,scooter,2025-07-01 06:00:00,5,Southmead,51.518254233401144,-2.5907560707131374,8,1.12,5
31,bike,2025-07-01 07:00:00,1,Temple Meads,51.44810167650698,-2.5815684342920266,5,0.83,5
32,bike,2025-07-01 07:00:00,1,Temple Meads,51.44812571674275,-2.579454358354945,18,1.16,5
33,bike,2025-07-01 07:00:00,1,Temple Meads,51.44925742392431,-2.5799657172353414,24,4.21,5
34,scooter,2025-07-01 07:00:00,1,Temple Meads,51.45163026589571,-2.5810028310834046,16,2.81,3
